gene_symbol,Traf6
analysis_id,0fx6tx559y14i96
parameter_id,IMPC_HEM_003_001
parameter_name,Hemoglobin
gene_accession_id,MGI:108072
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7449567
