analysis_id,n58f3g8j821upl2
parameter_name,Startle Response
parameter_id,M-G-P_008_001_013
mouse_strain,C57BL
pvalue,0.5289978
gene_symbol,Wars2
gene_accession_id,MGI:1917810
mouse_life_stage,E12.5
