analysis_id,00b734k7893713m
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Arnt
parameter_id,IMPC_OFD_020_001
pvalue,0.5817807
gene_accession_id,MGI:88071
parameter_name,Distance travelled - total
