analysis_id,nux670j44g6gqpc
pvalue,0.06899306
mouse_life_stage,E9.5
gene_symbol,Eprs1
mouse_strain,C57BL
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:97838
parameter_id,MGP_MLN_006_001
