gene_symbol,Dnajc5b
mouse_strain,C57BL
parameter_id,JAXLA_CBC_015_001
mouse_life_stage,Early adult
parameter_name,Total cholesterol
analysis_id,eg4026dg43x19d6
pvalue,0.5447492
gene_accession_id,MGI:1913576
