analysis_id,287p23j7y1jxx74
mouse_strain,C57BL
gene_accession_id,MGI:1915472
gene_symbol,Tubb4b
pvalue,0.6270148
parameter_id,IMPC_IMM_073_001
mouse_life_stage,Early adult
parameter_name,cDCs CD11b Type
