gene_symbol,SFPQ
pvalue,0.5085787
mouse_strain,C57BL
parameter_id,IMPC_IMM_069_001
parameter_name,Transitional B Cells (CD21/35 low)
mouse_life_stage,Early adult
analysis_id,f1189u8ikxoc0l6
gene_accession_id,MGI:1918764
