gene_symbol,Extl1
mouse_life_stage,Early adult
parameter_name,lens opacity
gene_accession_id,MGI:1888742
parameter_id,M-G-P_014_001_010
mouse_strain,C57BL
analysis_id,j12559rig6ac431
pvalue,0.3387325
