analysis_id,s3uw3w054427l98
pvalue,0.9580553
parameter_name,End-Systolic Diameter
parameter_id,IMPC_ECH_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1915848
mouse_strain,C57BL
gene_symbol,Dnajc8
