parameter_name,Retina (combined)
gene_symbol,Tnni1
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
pvalue,0.8426436
analysis_id,e048l44qhq9srd7
parameter_id,IMPC_EYE_092_002
mouse_strain,C57BL
