parameter_name,Total T cell percentage
mouse_life_stage,Early adult
gene_symbol,Kifap3
gene_accession_id,MGI:107566
analysis_id,0cgp64vz7w0o685
pvalue,0.3926285
mouse_strain,C57BL
parameter_id,MGP_PBI_001_001
