analysis_id,ydwd3f4m9c0w0nx
pvalue,0.1428471
parameter_id,IMPC_GEP_084_001
mouse_strain,B6J
gene_symbol,Nr0b2
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
parameter_name,Limb morphology
