gene_symbol,Amigo1
parameter_id,MGP_MLN_033_001
mouse_strain,C57BL
analysis_id,98q8q13p98clit3
pvalue,0.7831035
gene_accession_id,MGI:2653612
parameter_name,Resting NK cells - % of NK cells
mouse_life_stage,Early adult
