parameter_id,IMPC_GEP_084_001
pvalue,0.8907079
analysis_id,15fhlm2r7y4hgn3
gene_symbol,Slc28a2
mouse_strain,C57BL
parameter_name,Limb morphology
mouse_life_stage,Early adult
gene_accession_id,MGI:1913105
