analysis_id,90v4rb4vw6781pj
mouse_strain,C57BL
parameter_id,MGP_BMI_006_001
gene_symbol,Kif24
mouse_life_stage,Early adult
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
pvalue,0.5558998
gene_accession_id,MGI:1918345
