parameter_name,Tremor
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,cn6009y7sxr8ttu
gene_accession_id,MGI:1913576
parameter_id,IMPC_CSD_030_001
gene_symbol,Dnajc5b
pvalue,0.7655566
