parameter_name,Limb coat/hair presence
mouse_life_stage,Early adult
gene_accession_id,MGI:2674093
gene_symbol,Psd4
pvalue,0.5717191
mouse_strain,C57BL
analysis_id,2hv755ar848h85n
parameter_id,MGP_CSD_030_001
