analysis_id,q09w1w72k10l2uw
parameter_id,MGP_MLN_074_001
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.8953601
gene_accession_id,MGI:1276578
gene_symbol,Gfi1b
mouse_strain,C57BL
