parameter_name,Weight
gene_symbol,Casq1
pvalue,0.2170007
analysis_id,er899n70wh37284
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,M-G-P_005_001_001
gene_accession_id,MGI:1309468
