gene_symbol,Hrnr
mouse_life_stage,Early adult
pvalue,0.9833305
parameter_name,Coat - hair distribution - head
analysis_id,5sto2z6ci00z8o1
parameter_id,IMPC_CSD_012_001
mouse_strain,C57BL
gene_accession_id,MGI:3046938
