analysis_id,7iv68066zg74ro1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_MLN_093_001
gene_symbol,Maco1
parameter_name,KLRG1+ NK cells - % of CD45+
gene_accession_id,MGI:1913396
pvalue,0.9818919
