gene_symbol,Ints7
gene_accession_id,MGI:1924315
parameter_id,ESLIM_004_001_701
pvalue,0.9401843
mouse_strain,C57BL
parameter_name,Glucose response AUC
mouse_life_stage,Early adult
analysis_id,znx14xs93hxr703
