parameter_name,Red blood cell count
gene_symbol,Tiprl
pvalue,0.7176371
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:1915087
parameter_id,IMPC_HEM_002_001
analysis_id,n231063t99k49p7
