parameter_name,Weight
gene_symbol,Sgip1
mouse_strain,C57BL
pvalue,0.09026294
parameter_id,M-G-P_005_001_001
analysis_id,r3in0k14wcgzbew
mouse_life_stage,Early adult
gene_accession_id,MGI:1920344
