analysis_id,5n0s43f8l04r7k5
gene_accession_id,MGI:2444113
pvalue,0.8305899
gene_symbol,Nemp2
parameter_id,JAX_OFD_012_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Periphery permanence time
