gene_symbol,Snap23
gene_accession_id,MGI:109356
mouse_strain,C57BL
parameter_id,MGP_IMM_048_001
parameter_name,Follicular B cells - % of B2 cells
analysis_id,w183cb5pz93a8c7
mouse_life_stage,Middle aged adult
pvalue,0.227617
