parameter_name,Shape of vertebrae
gene_accession_id,MGI:1927232
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_018_001
gene_symbol,Rab13
pvalue,0.502646
mouse_strain,C57BL
analysis_id,nzp182k2979k0qh
