analysis_id,t4156z6280d5230
parameter_name,Tibia length
mouse_strain,C57BL
parameter_id,TCPLA_XRY_033_001
pvalue,0.4256643
gene_accession_id,MGI:107414
mouse_life_stage,Early adult
gene_symbol,Tnfsf10
