analysis_id,184hz3dfu40928t
parameter_id,MGP_CSD_008_001
mouse_life_stage,E9.5
parameter_name,Startle response
pvalue,0.3196001
mouse_strain,C57BL
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
