analysis_id,n7xbhax08u1h70i
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
parameter_id,IMPC_ABR_012_001
pvalue,0.256206
mouse_life_stage,Early adult
parameter_name,30kHz-evoked ABR Threshold
mouse_strain,C57BL
