parameter_name,PQ
parameter_id,IMPC_ECG_005_001
gene_symbol,Psd4
mouse_life_stage,Early adult
pvalue,0.3817627
gene_accession_id,MGI:2674093
analysis_id,e7jp31cf54009px
mouse_strain,C57BL
