analysis_id,8645tx0x93gsb38
gene_accession_id,MGI:1914061
mouse_strain,C57BL
Mouse_life_stage,Early adult
Gene_symbol,Duoxa2
Pvalue,0
Parameter_name,Total B cells - % of CD45+
parameter_id,MGP_IMM_041_001
