analysis_id,43s7qo749g857m1
parameter_id,IMPC_IMM_064_001
gene_symbol,Tbl1xr1
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3729327
parameter_name,B1B Cells
gene_accession_id,MGI:2441730
