analysis_id,5e5n380yfe05ts7
parameter_name,Tremor
parameter_id,IMPC_CSD_030_001
gene_symbol,Casq1
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7875756
gene_accession_id,MGI:1309468
