analysis_id,q95l1ooft8pufv8
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_strain,C57BL
pvalue,0.262187
gene_accession_id,MGI:104805
parameter_id,MGP_IMM_022_001
mouse_life_stage,Early adult
gene_symbol,Snrpb2
