parameter_name,Embryo Size
parameter_id,IMPC_GEL_032_001
gene_symbol,Ppm1j
gene_accession_id,MGI:1919137
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9495761
analysis_id,7zcmu9893vjjx0o
