parameter_name,Vibrissae - presence
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6994138
gene_accession_id,MGI:1914561
analysis_id,2994997au6tllk2
parameter_id,JAXLA_CSD_023_001
gene_symbol,Nanp
