analysis_id,26603bux1l31syk
parameter_name,RR
mouse_life_stage,E15.5
gene_accession_id,MGI:99501
gene_symbol,Fgb
parameter_id,IMPC_ECG_004_001
pvalue,0.2795304
mouse_strain,C57BL
