gene_symbol,Dnaaf9
pvalue,0.749543
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
mouse_strain,C57BL
analysis_id,3q2umn5al431ise
gene_accession_id,MGI:1923029
parameter_id,MGP_PBI_030_001
mouse_life_stage,Early adult
