analysis_id,4ult4matozf1360
pvalue,0.2679909
gene_accession_id,MGI:1920638
parameter_name,Monocytes
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Bpifa3
parameter_id,IMPC_IMM_051_001
