parameter_name,eye size
gene_accession_id,MGI:1916220
pvalue,0.998789
parameter_id,ESLIM_001_001_117
gene_symbol,Dcaf12
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,sdlsj5y6v7kx68f
