analysis_id,c25u594rfi6f988
mouse_strain,C57BL
gene_symbol,Dnaaf9
parameter_name,Lymphocyte differential count
mouse_life_stage,Early adult
gene_accession_id,MGI:1923029
pvalue,0.4303066
parameter_id,IMPC_HEM_031_001
