analysis_id,9i5wl3a4wgfa9nu
mouse_life_stage,Early adult
pvalue,0.7079068
parameter_name,Resting Treg cells - % of CD45+
parameter_id,MGP_IMM_078_001
gene_accession_id,MGI:1929866
mouse_strain,C57BL
gene_symbol,Rgs20
