analysis_id,936g5bolo04k3bx
pvalue,0.2640426
parameter_id,IMPC_HWT_008_001
gene_accession_id,MGI:1914071
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_name,Heart weight
gene_symbol,Bcs1l
