analysis_id,15u9xj415759672
parameter_id,MGP_MLN_093_001
parameter_name,KLRG1+ NK cells - % of CD45+
gene_accession_id,MGI:3026886
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.3675567
gene_symbol,Cdin1
