analysis_id,38jm9ob18501b8n
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
pvalue,0.4651888
gene_accession_id,MGI:1914561
gene_symbol,Nanp
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_009_001
