analysis_id,9d82cdocx076gcn
gene_symbol,Tbl1xr1
parameter_id,JAXLA_OFD_017_001
mouse_strain,C57BL
gene_accession_id,MGI:2441730
mouse_life_stage,Early adult
pvalue,0.303055
parameter_name,Center average speed
