analysis_id,vu808g44m9d69u3
gene_accession_id,MGI:107414
pvalue,0.3748346
parameter_name,Pale yolk sac
mouse_strain,C57BL
parameter_id,IMPC_GEL_017_002
gene_symbol,Tnfsf10
mouse_life_stage,Early adult
