analysis_id,2iow2gphs8780zs
mouse_strain,C57BL
parameter_id,MGP_CSD_008_001
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
gene_symbol,Toporsl
parameter_name,Startle response
pvalue,0.9058754
