gene_symbol,Rgs20
mouse_strain,C57BL
analysis_id,q54q58sjlkz8pg6
mouse_life_stage,Early adult
parameter_id,MGP_IMM_033_001
gene_accession_id,MGI:1929866
pvalue,0.5814614
parameter_name,Total NK cells - % of CD45+
