parameter_id,IMPC_IMM_069_001
mouse_strain,129SV
gene_symbol,Zmynd8
pvalue,0.9572813
analysis_id,6sa11204xy923g0
mouse_life_stage,Early adult
parameter_name,Transitional B Cells (CD21/35 low)
gene_accession_id,MGI:1918025
