parameter_name,Sacral processes
pvalue,0.2643988
parameter_id,IMPC_XRY_066_001
gene_accession_id,MGI:2673000
gene_symbol,Trim46
analysis_id,7x721k18y6y7ly9
mouse_strain,C57BL
mouse_life_stage,Early adult
