gene_symbol,Inka2
gene_accession_id,MGI:1923497
parameter_id,IMPC_ECH_003_001
parameter_name,Stroke Volume
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.96624
analysis_id,3e089n4538r39t2
