analysis_id,0b5721yq091z465
mouse_life_stage,Early adult
parameter_id,MGP_IMM_130_001
mouse_strain,C57BL
pvalue,0.7282848
gene_accession_id,MGI:2181659
gene_symbol,Tox
parameter_name,CD11b-low cDC - % of CD45+
