gene_symbol,Golm2
analysis_id,hi713251o0e7438
gene_accession_id,MGI:2443129
mouse_strain,C57BL
parameter_id,MGP_IMM_048_001
pvalue,0.5063903
parameter_name,Follicular B cells - % of B2 cells
mouse_life_stage,Early adult
