analysis_id,mu901v3q0k0h6sx
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
mouse_strain,C50BL
gene_symbol,Cdk18
gene_accession_id,MGI:97518
parameter_id,IMPC_FEA_106_001
pvalue,0.5622364
mouse_life_stage,Early adult
