mouse_life_stage,Early adult
parameter_name,Weight
analysis_id,61qi9wo367j83ec
mouse_strain,C54BL
parameter_id,CCP_LFO_001_001
gene_accession_id,MGI:1914309
pvalue,0.2933135
gene_symbol,Ola1
