gene_symbol,Lurap1
parameter_id,MGP_BMI_014_001
pvalue,0.8727031
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,hu5f4pkuq1n93fp
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
gene_accession_id,MGI:1915325
