analysis_id,0bm35jf8915oerk
mouse_life_stage,Late adult
gene_symbol,Nucks1
gene_accession_id,MGI:1934811
parameter_id,MGP_PBI_004_001
pvalue,0.3621213
mouse_strain,C57BL
parameter_name,CD8+ alpha beta T cell percentage
