gene_symbol,Ssr2
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1913506
analysis_id,l1bv62dasu1360f
pvalue,0.1744464
parameter_name,Snout morphology
parameter_id,MGP_CSD_066_001
