gene_symbol,Arnt
gene_accession_id,MGI:88071
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_002_001
mouse_strain,C57BL
pvalue,0.1251968
parameter_name,Click-evoked ABR threshold
analysis_id,i20676nf81j4n30
