parameter_name,Clavicle
gene_accession_id,MGI:1914672
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7465803
analysis_id,6y466ig36ooz425
parameter_id,IMPC_XRY_007_001
gene_symbol,Dhdds
