parameter_name,Vibrissae - appearance
parameter_id,HMGULA_DYS_024_001
gene_symbol,Zmynd19
mouse_life_stage,Early adult
pvalue,0.82159
analysis_id,11ksime85acfddn
gene_accession_id,MGI:1914437
mouse_strain,C57BL
