analysis_id,0f155k6r3187548
mouse_life_stage,E15.5
mouse_strain,C57BL
parameter_id,IMPC_HEM_038_001
gene_symbol,Fgb
pvalue,0.1576179
parameter_name,Basophil differential count
gene_accession_id,MGI:99501
